Sommet1;Sommet2;Time
0282;0224;80
0225;0298;75
0298;0225;75
0226;0270;39
0270;0226;39
0227;0356;38
0356;0227;38
0228;0255;53
0255;0228;53
0228;0282;49
0282;0228;49
0229;0305;43
0305;0229;43
0229;0312;64
0312;0229;64
0230;0354;62
0354;0230;62
0231;0368;40
0368;0231;40
0232;0348;46
0348;0232;46
0233;0320;33
0320;0233;33
0234;0249;38
0249;0234;38
0235;0284;44
0284;0235;44
0237;0261;37
0261;0237;37
0238;0322;27
0322;0238;27
0244;0352;37
0352;0244;37
0246;0302;37
0302;0246;37
0247;0357;23
0357;0247;23
0248;0280;57
0249;0273;35
0273;0249;35
0254;0345;75
0345;0254;75
0256;0362;37
0362;0256;37
0257;0265;26
0265;0257;26
0259;0036;84
0260;0266;37
0266;0260;37
0261;0266;46
0266;0261;46
0264;0286;41
0286;0264;41
0268;0337;39
0337;0268;39
0269;0301;35
0301;0269;35
0275;0328;41
0328;0275;41
0278;0357;59
0357;0278;59
0279;0320;37
0320;0279;37
0280;0092;43
0285;0305;61
0305;0285;61
0286;0370;35
0370;0286;35
0292;0361;38
0361;0292;38
0294;0347;46
0347;0294;46
0298;0303;46
0303;0298;46
0299;0304;48
0304;0299;48
0300;0341;46
0341;0300;46
0302;0366;53
0366;0302;53
0306;0355;33
0355;0306;33
0308;0347;29
0347;0308;29
0308;0338;33
0338;0308;33
0309;0336;65
0336;0309;65
0310;0375;28
0375;0310;28
0310;0342;67
0342;0310;67
0312;0350;37
0350;0312;37
0314;0343;98
0343;0314;98
0315;0344;107
0344;0315;107
0316;0369;27
0369;0316;27
0321;0359;23
0359;0321;23
0323;0334;47
0334;0323;47
0325;0353;69
0353;0325;69
0333;0334;32
0334;0333;32
0346;0358;33
0358;0346;33
0360;0368;47
0368;0360;47
0363;0365;28
0365;0363;28
0364;0365;28
0365;0364;28
0373;0196;37
0007;0008;0
0008;0007;0
0013;0014;0
0014;0013;0
0016;0018;0
0018;0016;0
0016;0017;0
0017;0016;0
0017;0018;0
0018;0017;0
0020;0021;0
0021;0020;0
0022;0023;0
0023;0022;0
0032;0033;0
0033;0032;0
0050;0051;0
0051;0050;0
0055;0057;0
0057;0055;0
0055;0056;0
0056;0055;0
0056;0057;0
0057;0056;0
0059;0060;0
0060;0059;0
0067;0069;0
0069;0067;0
0067;0068;0
0068;0067;0
0067;0070;0
0070;0067;0
0067;0071;0
0071;0067;0
0068;0069;0
0069;0068;0
0068;0070;0
0070;0068;0
0068;0071;0
0071;0068;0
0069;0070;0
0070;0069;0
0069;0071;0
0071;0069;0
0070;0071;0
0071;0070;0
0077;0079;0
0079;0077;0
0077;0078;0
0078;0077;0
0078;0079;0
0079;0078;0
0093;0094;0
0094;0093;0
0095;0096;0
0096;0095;0
0099;0100;0
0100;0099;0
0109;0110;0
0110;0109;0
0115;0116;0
0116;0115;0
0117;0118;0
0118;0117;0
0119;0120;0
0120;0119;0
0121;0123;0
0123;0121;0
0121;0122;0
0122;0121;0
0122;0123;0
0123;0122;0
0124;0125;0
0125;0124;0
0132;0133;0
0133;0132;0
0135;0136;0
0136;0135;0
0137;0138;0
0138;0137;0
0142;0144;0
0144;0142;0
0142;0143;0
0143;0142;0
0143;0144;0
0144;0143;0
0148;0149;0
0149;0148;0
0154;0156;0
0156;0154;0
0154;0155;0
0155;0154;0
0155;0156;0
0156;0155;0
0169;0170;0
0170;0169;0
0175;0177;0
0177;0175;0
0175;0176;0
0176;0175;0
0176;0177;0
0177;0176;0
0191;0192;0
0192;0191;0
0196;0197;0
0197;0196;0
0198;0199;0
0199;0198;0
0202;0203;0
0203;0202;0
0206;0208;0
0208;0206;0
0206;0207;0
0207;0206;0
0206;0209;0
0209;0206;0
0207;0208;0
0208;0207;0
0207;0209;0
0209;0207;0
0208;0209;0
0209;0208;0
0212;0214;0
0214;0212;0
0212;0213;0
0213;0212;0
0212;0215;0
0215;0212;0
0213;0214;0
0214;0213;0
0213;0215;0
0215;0213;0
0214;0215;0
0215;0214;0
0219;0220;0
0220;0219;0
0221;0222;0
0222;0221;0
0223;0225;0
0225;0223;0
0223;0224;0
0224;0223;0
0224;0225;0
0225;0224;0
0227;0228;0
0228;0227;0
0231;0232;0
0232;0231;0
0238;0239;0
0239;0238;0
0242;0244;0
0244;0242;0
0242;0243;0
0243;0242;0
0243;0244;0
0244;0243;0
0245;0246;0
0246;0245;0
0247;0248;0
0248;0247;0
0278;0279;0
0279;0278;0
0281;0282;0
0282;0281;0
0284;0285;0
0285;0284;0
0292;0293;0
0293;0292;0
0295;0296;0
0296;0295;0
0298;0299;0
0299;0298;0
0303;0304;0
0304;0303;0
0309;0310;0
0310;0309;0
0311;0313;0
0313;0311;0
0311;0312;0
0312;0311;0
0311;0314;0
0314;0311;0
0311;0315;0
0315;0311;0
0312;0313;0
0313;0312;0
0312;0314;0
0314;0312;0
0312;0315;0
0315;0312;0
0313;0314;0
0314;0313;0
0313;0315;0
0315;0313;0
0314;0315;0
0315;0314;0
0325;0327;0
0327;0325;0
0325;0326;0
0326;0325;0
0326;0327;0
0327;0326;0
0339;0341;0
0341;0339;0
0339;0340;0
0340;0339;0
0340;0341;0
0341;0340;0
0342;0344;0
0344;0342;0
0342;0343;0
0343;0342;0
0343;0344;0
0344;0343;0
0346;0347;0
0347;0346;0
0354;0355;0
0355;0354;0
0366;0367;0
0367;0366;0
