ID;Nom;Line;IsTerminus;Color;NumberOfLine
0311;République;11;False;8d6538;5
0312;République;3;False;999738;5
0313;République;5;False;f68f4a;5
0314;République;8;False;c4a2cb;5
0315;République;9;False;cdc92a;5
0316;Saint-Ambroise;9;False;cdc92a;1
0317;Saint-Augustin;9;False;cdc92a;1
0318;Saint-Denis-Porte de Paris;13;False;84d2dd;1
0319;Saint-Denis-Université;13;True;84d2dd;1
0320;Saint-Fargeau;3bis;False;86d3de;1
0321;Saint-Francois Xavier;13;False;84d2dd;1
0322;Saint-Georges;12;False;008b59;1
0323;Saint-Germain-des-Prés;4;False;ba499b;1
0324;Saint-Jacques;6;False;75c695;1
0325;Saint-Lazare;12;False;008b59;3
0326;Saint-Lazare;13;False;84d2dd;3
0327;Saint-Lazare;3;False;999738;3
0328;Saint-Mandé, Tourelle;1;False;fecd08;1
0329;Saint-Marcel;5;False;f68f4a;1
0330;Saint-Michel;4;False;ba499b;1
0331;Saint-Paul, Le Marais;1;False;fecd08;1
0332;Saint-Philippe du Roule;9;False;cdc92a;1
0333;Saint-Placide;4;False;ba499b;1
0334;Saint-Sulpice;4;False;ba499b;1
0335;Saint-Sébastien-Froissart;8;False;c4a2cb;1
0336;Sentier;3;False;999738;1
0337;Simplon;4;False;ba499b;1
0338;Solférino;12;False;008b59;1
0339;Stalingrad;2;False;006db8;3
0340;Stalingrad;5;False;f68f4a;3
0341;Stalingrad;7;False;f27aa0;3
0342;Strasbourg Saint-Denis;4;False;ba499b;3
0343;Strasbourg Saint-Denis;8;False;c4a2cb;3
0344;Strasbourg Saint-Denis;9;False;cdc92a;3
0345;Sully Morland;7;False;f27aa0;1
0346;Sèvres Babylone;10;False;f68f4a;2
0347;Sèvres Babylone;12;False;008b59;2
0348;Sèvres Lecourbe;6;False;75c695;1
0349;Ségur;10;False;f68f4a;1
0350;Temple;3;False;999738;1
0351;Ternes;2;False;006db8;1
0352;Tolbiac;7;False;f27aa0;1
0353;Trinité d'Estienne d'Orves;12;False;008b59;1
0354;Trocadéro;6;False;75c695;2
0355;Trocadéro;9;False;cdc92a;2
0356;Tuileries;1;False;fecd08;1
0357;Télégraphe;11;False;8d6538;1
0358;Vaneau;10;False;f68f4a;1
0359;Varenne;13;False;84d2dd;1
0360;Vaugirard;12;False;008b59;1
0361;Vavin;4;False;ba499b;1
0362;Victor Hugo;2;False;006db8;1
0363;Villejuif, Louis Aragon;7;True;f27aa0;1
0364;Villejuif, Léo Lagrange;7;False;f27aa0;1
0365;Villejuif, P. Vaillant Couturier;7;False;f27aa0;1
0366;Villiers;2;False;006db8;2
0367;Villiers;3;False;999738;2
0368;Volontaires;12;False;008b59;1
0369;Voltaire;9;False;cdc92a;1
0370;Wagram;3;False;999738;1
0371;École Militaire;8;False;c4a2cb;1
0372;École Vétérinaire de Maisons-Alfort;8;False;c4a2cb;1
0373;Église d'Auteuil;10;False;f68f4a;1
0374;Église de Pantin;5;False;f68f4a;1
0375;Étienne Marcel;4;False;ba499b;1
